COVID-19 Vaccinations in the United States
Date generated: Thu May 27 2021 15:39:15 GMT-0700 (Pacific Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,805955,110172,146122,605559,82778,584269,105930,333592,45.6,318862,57.8,284731,38.9,278080,50.4,398775,348780,58400,0,19929,265757,319780,93,122259,143897,18547,28,121960,137626,18466,28,266184,45.6,318862,57.8,36.4,259614,47.1,333592,73054,79.8,68418,74.7,38990,27384,2029,15,137667,150311,879979,333003,54.7,284725,46.8,122257,143895,18545,28,604973,99359,132367
Alabama,4520480,92195,118496,3007387,61335,2979117,78092,1758850,35.9,1738747,45.6,1423605,29,1414840,37.1,2204280,2041600,274600,0,97686,1450566,1459135,0,648551,675238,99729,87,648371,666697,99685,87,1323876,35.9,1738747,45.6,27,1315155,34.5,1758850,645001,75.9,552992,65.1,293596,230915,28428,53,1147862,135068,531923,1758558,42,1423588,34,648543,675232,99726,87,3007094,71822,107968
Arkansas,2747930,91057,118565,2050759,67955,2010213,86735,1179098,39.1,1149699,49.6,925698,30.7,914185,39.4,1349010,1223020,175900,0,65657,969267,1015307,528,429258,432191,64117,132,428620,421639,63798,128,861581,39.1,1149699,49.6,28.5,850387,36.7,1179098,396534,75.7,330244,63,191279,128591,10285,89,718903,137226,524532,1177025,46,925550,36.2,429254,432152,64012,132,2048619,80110,107457
American Samoa,54030,97021,124387,42511,76336,40963,94304,23419,42.1,22528,51.9,19250,34.6,18597,42.8,37830,15600,600,0,26,10226,32259,0,4421,14795,34,0,4409,14154,34,0,19216,42.1,22528,51.9,34.5,18563,42.7,23419,2547,26.9,2285,24.1,910,1368,7,0,4742,50090,570719,23418,49.2,19249,40.5,4420,14795,34,0,42509,89385,113611
Arizona,7726825,106156,137037,5879403,80775,5731336,101647,3325305,45.7,3220152,57.1,2579485,35.4,2540828,45.1,4087005,3219420,420400,0,184778,2573600,3116733,4292,1079070,1321111,177902,1402,1078822,1282813,177795,1398,2401583,45.7,3220152,57.1,33,2363033,41.9,3325305,1073087,82,897025,68.5,442191,420380,33595,859,2017532,154171,590450,3324973,53.6,2579415,41.6,1079057,1321088,177868,1402,5878985,94730,124505
Bureau of Prisons,188510,N/A,N/A,179455,N/A,179454,N/A,99337,N/A,99336,N/A,85190,N/A,85190,N/A,101790,76320,10400,0,5946,72395,101114,0,32083,47188,5919,0,32083,47188,5919,0,79271,N/A,99336,N/A,0,79271,0,99337,3232,0,2926,0,1411,1437,78,0,6116,0,0,99336,0,85190,0,32083,47188,5919,0,179454,0,0
California,46754710,118330,152705,37669020,95335,36374798,118804,22109031,56,21160040,69.1,16664687,42.2,16315044,53.3,24897210,19269700,2587800,0,1322620,15892426,20449104,4870,6753249,8598293,1311798,1347,6737329,8269881,1306516,1318,15352889,56,21160040,69.1,38.9,15008528,49,22109031,5275136,90.4,4171529,71.5,2151469,1882360,137135,565,9390323,160845,800853,22073389,65.6,16663743,49.5,6752881,8597969,1311547,1346,37632604,111848,138960
Colorado,6664860,115735,148134,5519571,95847,5333174,118536,3075711,53.4,2940882,65.4,2559111,44.4,2507371,55.7,3555240,2773920,335700,0,186822,2399687,2931545,1517,1085198,1289114,184354,445,1082697,1240676,183558,440,2374757,53.4,2940882,65.4,41.2,2323813,51.6,3075711,721321,85.6,646341,76.7,322577,306673,16898,193,1374914,163212,791164,3070337,62.2,2559068,51.8,1085187,1289099,184337,445,5514145,111711,135024
Connecticut,4509665,126488,158911,3968265,111303,3819598,134595,2227382,62.5,2119419,74.7,1868188,52.4,1830384,64.5,2428725,1833240,247700,0,152721,1572594,2242588,362,716283,999054,152759,92,715954,961715,152629,86,1715429,62.5,2119419,74.7,48.1,1677755,59.1,2227382,586522,93.1,540182,85.7,212461,312035,15661,25,1124090,178358,715543,2226234,71.7,1867796,60.1,716087,998926,152691,92,3966751,127715,145195
District of Columbia,1019215,144416,176463,774198,109699,766097,132639,397218,56.3,389625,67.5,318874,45.2,317016,54.9,556335,409180,53700,0,24291,306747,442948,212,121913,168788,28023,150,121882,166981,28005,148,290851,56.3,389625,67.5,41.2,289011,50,397218,71709,82.1,62384,71.4,35537,24918,1913,16,161972,185444,1166910,397156,65.1,318860,52.3,121909,168780,28021,150,774131,126958,167152
Dept of Defense,4299900,N/A,N/A,3573070,N/A,3512381,N/A,2116308,N/A,2068784,N/A,1478842,N/A,1466069,N/A,2312700,1801300,185900,0,115304,1539865,1917502,399,596686,769768,112388,0,596623,757087,112359,0,1366454,N/A,2068784,N/A,0,1353710,0,2116308,173699,0,125858,0,44987,76042,4829,0,308975,0,0,2113855,0,1478736,0,596664,769696,112376,0,3570522,0,0
Delaware,1205065,123753,156463,916936,94164,892127,115832,521179,53.5,503803,65.4,409468,42.1,404114,52.5,642525,498940,63600,0,39858,370769,506010,299,155011,215025,39293,139,154930,209779,39266,139,370175,53.5,503803,65.4,38,364848,47.4,521179,171970,91,149364,79.1,61242,80256,7778,88,321813,170356,637918,521045,62,409446,48.8,155008,215012,39287,139,916779,109165,143493
